WKT,confidence,detection_,TIF IMAGE
"POLYGON ((174204 475028,174226.5 475028.0,174226.5 475004.0,174204 475004,174204 475028))",100,barrow,LiDAR files/26hz1/26hz1_SLRM_clip.tif
"POLYGON ((175309.5 469821.0,175327 469821,175327.0 469804.5,175309.5 469804.5,175309.5 469821.0))",100,barrow,LiDAR files/32fn2/32fn2_SLRM_clip.tif
"POLYGON ((174289.0 479333.5,174304.0 479333.5,174304.0 479317.5,174289.0 479317.5,174289.0 479333.5))",100,barrow,LiDAR files/26hz1/26hz1_SLRM_clip.tif
"POLYGON ((174304.0 479267.5,174318.0 479267.5,174318 479253,174304 479253,174304.0 479267.5))",100,barrow,LiDAR files/26hz1/26hz1_SLRM_clip.tif
"POLYGON ((179372.0 449598.5,179386.5 449598.5,179386.5 449583.0,179372 449583,179372.0 449598.5))",100,barrow,LiDAR files/39fn2/39fn2_SLRM_clip.tif
"POLYGON ((188637 479600,188647.5 479600.0,188647.5 479577.5,188637.0 479577.5,188637 479600))",100,barrow,LiDAR files/27cz2/27cz2_SLRM_clip.tif
"POLYGON ((172948.0 469112.5,172969.5 469112.5,172969.5 469093.5,172948.0 469093.5,172948.0 469112.5))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((172973.5 469133.5,172993.0 469133.5,172993 469111,172973.5 469111.0,172973.5 469133.5))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((172952.5 469139.5,172973.5 469139.5,172973.5 469123.0,172952.5 469123.0,172952.5 469139.5))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((186414.5 475328.0,186436.5 475328.0,186436.5 475305.5,186414.5 475305.5,186414.5 475328.0))",100,barrow,LiDAR files/27cz2/27cz2_SLRM_clip.tif
"POLYGON ((173862.5 472534.5,173883.5 472534.5,173883.5 472516.5,173862.5 472516.5,173862.5 472534.5))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((173852 472571,173874.5 472571.0,173874.5 472550.0,173852 472550,173852 472571))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((173863.0 472579.5,173878.0 472579.5,173878 472564,173863 472564,173863.0 472579.5))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((173832 472588,173849.5 472588.0,173849.5 472570.5,173832.0 472570.5,173832 472588))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((173847.0 472594.5,173867.5 472594.5,173867.5 472580.5,173847.0 472580.5,173847.0 472594.5))",100,barrow,LiDAR files/32fn1/32fn1_SLRM_clip.tif
"POLYGON ((185500.5 469839.0,185522.5 469839.0,185522.5 469815.5,185500.5 469815.5,185500.5 469839.0))",100,barrow,LiDAR files/33an2/33an2_SLRM_clip.tif
"POLYGON ((186060.5 474906.5,186081.5 474906.5,186081.5 474885.5,186060.5 474885.5,186060.5 474906.5))",100,barrow,LiDAR files/27cz2/27cz2_SLRM_clip.tif
"POLYGON ((186920.5 468872.0,186937.5 468872.0,186937.5 468850.0,186920.5 468850.0,186920.5 468872.0))",100,barrow,LiDAR files/33an2/33an2_SLRM_clip.tif
