WKT,confidence,detection_,TIF IMAGE
"POLYGON ((187144.5 470864.5,187192.0 470864.5,187192 470816,187144.5 470816.0,187144.5 470864.5))",100,celtic_field,LiDAR files/33an2/33an2_SLRM_clip.tif
"POLYGON ((187175.5 470880.5,187222.0 470880.5,187222.0 470826.5,187175.5 470826.5,187175.5 470880.5))",100,celtic_field,LiDAR files/33an2/33an2_SLRM_clip.tif
"POLYGON ((180726.5 479728.0,180749 479728,180749.0 479705.5,180726.5 479705.5,180726.5 479728.0))",100,celtic_field,LiDAR files/27cz1/27cz1_SLRM_clip.tif
"POLYGON ((187392 485630,187444.5 485630.0,187444.5 485571.5,187392.0 485571.5,187392 485630))",100,celtic_field,LiDAR files/27cn2/27cn2_SLRM_clip.tif
"POLYGON ((187411.0 485664.5,187476.5 485664.5,187476.5 485610.5,187411.0 485610.5,187411.0 485664.5))",100,celtic_field,LiDAR files/27cn2/27cn2_SLRM_clip.tif
"POLYGON ((187339.5 485569.0,187399.5 485569.0,187399.5 485510.5,187339.5 485510.5,187339.5 485569.0))",100,celtic_field,LiDAR files/27cn2/27cn2_SLRM_clip.tif
"POLYGON ((191588.0 478895.5,191647.0 478895.5,191647.0 478854.5,191588.0 478854.5,191588.0 478895.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((191594.5 478925.0,191649 478925,191649.0 478880.5,191594.5 478880.5,191594.5 478925.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((191576.5 478876.0,191642 478876,191642.0 478830.5,191576.5 478830.5,191576.5 478876.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((191923.5 479591.0,191971 479591,191971 479521,191923.5 479521.0,191923.5 479591.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((191923 479555,191964 479555,191964.0 479497.5,191923.0 479497.5,191923 479555))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((191086.0 478977.5,191170.5 478977.5,191170.5 478923.0,191086 478923,191086.0 478977.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((191144.0 478973.5,191234.0 478973.5,191234 478909,191144 478909,191144.0 478973.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((191091 479023,191167.5 479023.0,191167.5 478956.0,191091 478956,191091 479023))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192208 478591,192248.5 478591.0,192248.5 478545.0,192208 478545,192208 478591))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192226.5 478587.0,192294.5 478587.0,192294.5 478545.0,192226.5 478545.0,192226.5 478587.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192324.0 478584.5,192387.5 478584.5,192387.5 478545.0,192324 478545,192324.0 478584.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192231 478619,192306 478619,192306 478555,192231 478555,192231 478619))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192209.0 478627.5,192254.5 478627.5,192254.5 478562.0,192209 478562,192209.0 478627.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192209.0 478844.5,192255.0 478844.5,192255.0 478811.5,192209.0 478811.5,192209.0 478844.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192208 478830,192246.5 478830.0,192246.5 478750.5,192208.0 478750.5,192208 478830))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192208.5 478773.0,192262.5 478773.0,192262.5 478699.0,192208.5 478699.0,192208.5 478773.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192293 478840,192346.5 478840.0,192346.5 478790.0,192293 478790,192293 478840))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192261.5 478844.5,192318.0 478844.5,192318.0 478800.5,192261.5 478800.5,192261.5 478844.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192322.0 478835.5,192381.0 478835.5,192381.0 478763.5,192322.0 478763.5,192322.0 478835.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192324.5 478844.5,192392.5 478844.5,192392.5 478818.5,192324.5 478818.5,192324.5 478844.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192356 478816,192419 478816,192419 478754,192356 478754,192356 478816))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192341.5 478787.0,192413.5 478787.0,192413.5 478719.5,192341.5 478719.5,192341.5 478787.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192385.0 478771.5,192447.0 478771.5,192447 478708,192385 478708,192385.0 478771.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192369.0 478844.5,192432.0 478844.5,192432.0 478789.5,192369.0 478789.5,192369.0 478844.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192403.5 478842.0,192471.5 478842.0,192471.5 478782.5,192403.5 478782.5,192403.5 478842.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192412 478737,192477 478737,192477.0 478661.5,192412.0 478661.5,192412 478737))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192440.0 478817.5,192495.5 478817.5,192495.5 478747.0,192440 478747,192440.0 478817.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192457.5 478763.0,192507.5 478763.0,192507.5 478702.5,192457.5 478702.5,192457.5 478763.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192432.5 478681.5,192486.5 478681.5,192486.5 478616.0,192432.5 478616.0,192432.5 478681.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192462.5 478667.0,192507.5 478667.0,192507.5 478608.0,192462.5 478608.0,192462.5 478667.0))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
"POLYGON ((192427.5 478646.5,192487.0 478646.5,192487 478593,192427.5 478593.0,192427.5 478646.5))",100,celtic_field,LiDAR files/27dz1/27dz1_SLRM_clip.tif
